R,F,M,C
13.63,2,99.62,0.0
7.57,2,261.61,0.0
15.73,2,51.98,0.0
0.07,2,65.48,0.0
4.27,2,159.98,0.0
3.8,2,39.98,0.0
13.27,2,90.97,0.0251467
1.77,2,176.29,0.0
0.07,2,119.67,0.0571003
6.43,2,56.46,0.03579745
3.8,2,66.97,0.0
5.7,2,32.71,0.0
5.3,2,52.98,0.0
3.27,2,89.87,0.0454753
8.47,5,378.95,0.04769922
11.27,2,59.97,0.0
10.17,3,219.96,0.0794987
16.87,2,147.59,0.0
5.6,2,49.24,0.0
11.23,2,599.98,0.0
6.37,3,340.95,0.0
13.27,2,33.24,0.0
8.5,3,109.96,0.0158371
6.17,2,36.98,0.0
9.27,3,52.14,0.0
8.03,2,92.98,0.0238131
14.4,2,71.75,0.0
0.8,2,38.14,0.0
1.57,2,60.98,0.0
1.1,3,74.28,0.0
13.13,2,43.98,0.0
11.57,2,39.36,0.0
17.03,2,83.19,0.13044785
0.4,4,115.96,0.02272985
13.33,2,449.84,0.0
14.73,2,26.98,0.12925025
6.03,2,287.96,0.0
3.67,2,68.4,0.0
4.73,2,59.35,0.0
11.33,2,133.98,0.0
5.87,2,125.34,0.15481655
5.23,2,289.98,0.0
14.33,2,114.29,0.0
2.9,2,81.87,0.0346461
10.2,2,51.34,0.0
11.83,2,115.6,0.0
13.4,2,46.58,0.0
4.73,2,98.98,0.0
7.33,2,26.68,0.0
9.07,2,39.98,0.02382085
15.63,2,57.98,0.0
8.1,2,59.97,0.0
7.73,3,270.46,0.0
8.3,3,70.42,0.0
9.23,2,44.98,0.0
6.9,2,55.0,0.0
8.5,2,31.98,0.0
9.8,2,271.98,0.0
1.03,3,839.97,0.0
5.47,2,299.96,0.0
0.6,5,148.85,0.0
0.67,2,35.31,0.0
12.57,2,114.54,0.07142855
3.2,2,86.96,0.0
13.7,2,95.94,0.0
7.53,2,129.13,0.0
7.43,3,58.96,0.0
16.6,2,138.9,0.0
1.67,3,56.94,0.0
9.37,2,51.98,0.0
6.47,2,73.13,0.0
3.47,3,224.68,0.0
6.1,2,53.85,0.0
6.63,3,285.97,0.0
2.37,3,840.59,0.0
1.83,2,34.6,0.0
3.37,4,99.75,0.041672175
0.43,2,92.66,0.0
5.47,2,69.89,0.0
5.2,2,101.98,0.0
2.6,2,79.79,0.0
3.83,2,19.98,0.0
4.67,3,627.93,0.0
6.23,3,599.96,0.09524353332999999
5.33,2,22.54,0.02366865
5.77,3,29.97,0.5
6.13,2,39.98,0.0
10.33,2,67.6,0.0
13.23,2,45.62,0.0
4.93,2,44.99,0.0476291
5.87,2,263.97,0.0
10.7,2,146.15,0.0
3.37,3,104.67,0.0
4.93,2,65.98,0.0
5.67,3,310.0,0.14143363332999997
7.3,2,279.98,0.0
0.5,3,61.6,0.04005376667
10.67,3,108.09,0.0
16.23,2,13.98,0.0
15.4,3,127.38,0.0
3.93,3,305.73,0.0
2.77,3,96.96,0.0
0.07,2,69.76,0.0
10.83,2,37.98,0.0
12.57,2,77.22,0.0
4.1,2,199.98,0.03571685
4.57,3,862.73,0.0
5.67,2,41.94,0.0
8.2,2,77.15,0.0
6.6,2,37.94,0.13507595
12.97,2,85.98,0.0
13.1,2,119.92,0.0
8.23,2,609.98,0.0
12.37,2,62.96,0.0
5.47,2,170.97,0.15855545
9.43,3,51.96,0.0
2.53,2,150.5,0.03106515
14.53,2,48.24,0.0
13.17,3,77.96,0.0
1.93,2,248.8,0.0
9.53,3,58.99,0.0
5.77,2,299.98,0.0
3.17,2,112.98,0.0
9.03,2,46.98,0.0238186
13.63,4,47.16,0.011916575
3.7,2,39.98,0.0
7.57,2,49.98,0.0
13.57,2,25.32,0.0
4.83,2,224.98,0.0
6.07,3,277.56,0.0
0.93,2,47.5,0.0
4.3,2,40.98,0.0
10.23,2,36.92,0.0
0.8,2,88.06,0.0
6.4,2,154.12,0.0
8.9,7,4182.2,0.0
3.73,2,99.7,0.0
6.0,2,73.97,0.0
5.0,2,313.97,0.0454573
6.43,2,419.97,0.0
5.77,4,254.97,0.0
15.3,3,101.97,0.0
0.5,2,101.52,0.023775
1.23,2,57.98,0.0
1.77,2,42.98,0.0
1.03,3,188.99,0.01709403333
3.47,3,173.97,0.1877447
6.7,2,263.97,0.0
6.73,2,44.18,0.0
6.4,2,135.98,0.0909212
7.83,2,218.98,0.0
5.2,2,44.97,0.0
