R,F,M,C
13.63,2,99.62,0.0
15.73,2,51.98,0.0
13.27,2,90.97,0.0251467
11.27,2,59.97,0.0
10.17,3,219.96,0.07949869999999999
16.87,2,147.59,0.0
11.23,2,599.98,0.0
13.27,2,33.24,0.0
8.5,3,109.96,0.0158371
9.27,3,52.14,0.0
14.4,2,71.75,0.0
13.13,2,43.98,0.0
11.57,2,39.36,0.0
13.33,2,449.84,0.0
11.33,2,133.98,0.0
14.33,2,114.29,0.0
10.2,2,51.34,0.0
11.83,2,115.6,0.0
13.4,2,46.58,0.0
9.07,2,39.98,0.02382085
15.63,2,57.98,0.0
8.1,2,59.97,0.0
8.3,3,70.42,0.0
9.23,2,44.98,0.0
8.5,2,31.98,0.0
9.8,2,271.98,0.0
12.57,2,114.54,0.07142855
13.7,2,95.94,0.0
16.6,2,138.9,0.0
9.37,2,51.98,0.0
10.33,2,67.6,0.0
13.23,2,45.62,0.0
10.7,2,146.15,0.0
10.67,3,108.09,0.0
16.23,2,13.98,0.0
15.4,3,127.38,0.0
10.83,2,37.98,0.0
12.57,2,77.22,0.0
8.2,2,77.15,0.0
12.97,2,85.98,0.0
13.1,2,119.92,0.0
12.37,2,62.96,0.0
9.43,3,51.96,0.0
14.53,2,48.24,0.0
13.17,3,77.96,0.0
9.53,3,58.99,0.0
9.03,2,46.98,0.0238186
13.63,4,47.16,0.011916575
13.57,2,25.32,0.0
10.23,2,36.92,0.0
15.3,3,101.97,0.0
16.53,2,187.71,0.00451155
12.97,3,54.96,0.0
9.63,2,51.98,0.0
8.57,2,53.98,0.0
12.43,2,188.96,0.02937285
15.47,2,54.46,0.0
11.93,2,39.97,0.0
12.87,2,97.98,0.0
10.6,2,63.62,0.0
8.97,2,408.79,0.0
14.03,3,163.97,0.0
15.53,2,115.25,0.0
13.3,2,268.96,0.0
12.97,2,63.82,0.0
12.03,2,58.44,0.0311816
10.83,3,86.91,0.0
12.97,2,178.94,0.12880215
9.23,2,41.94,0.0
12.97,2,86.97,0.0
9.97,2,50.97,0.0
15.8,2,21.98,0.0
13.1,2,21.98,0.0
7.93,2,25.9,0.0
14.87,2,135.38,0.0
16.63,2,187.5,0.0652073
10.33,2,175.23,0.0
9.27,2,41.98,0.0
16.9,2,82.02,0.0
10.27,2,63.63,0.0
14.3,3,295.92,0.10205773332999996
14.1,2,130.62,0.0
10.63,2,40.95,0.0
8.27,2,27.14,0.0
16.0,3,137.61,0.0
11.2,2,138.72,0.0
14.1,2,30.58,0.02382405
12.4,2,105.32,0.0
14.27,3,86.44,0.0
12.2,2,55.44,0.0
14.5,2,29.89,0.0
8.83,3,305.97,0.0
11.63,2,47.97,0.0
15.27,2,224.98,0.05859855
11.9,2,21.18,0.0
10.9,2,29.6,0.0
17.07,2,105.98,0.0
17.03,2,47.98,0.0
15.47,2,41.24,0.0
13.9,2,17.91,0.0
14.9,2,27.98,0.06671115
11.5,3,200.96,0.0
13.33,2,124.82,0.0
11.33,2,63.62,0.0
10.57,2,179.57,0.0
9.6,2,104.53,0.0
11.97,3,95.12,0.0
11.57,2,39.98,0.0
10.9,2,91.98,0.02381235
11.7,2,143.97,0.0
12.1,2,25.9,0.0
9.83,2,52.27,0.0
15.93,2,47.32,0.0
11.47,3,573.91,0.0
14.73,2,189.71,0.0
11.37,2,55.35,0.0
12.27,2,73.93,0.0
14.13,3,52.97,0.0
10.13,2,85.24,0.0
9.47,2,144.98,0.0
10.17,2,193.22,0.0
8.33,2,28.4,0.0
9.43,2,27.98,0.0
16.7,2,176.97,0.0
15.43,2,87.97,0.0
14.2,2,118.39,0.0
8.67,2,133.97,0.0258695
9.8,2,31.97,0.0816038
13.17,2,28.44,0.125
9.4,2,55.97,0.0
9.3,2,24.98,0.0
11.0,2,81.94,0.09097045
13.6,2,21.48,0.0
15.67,2,137.98,0.03378835
15.27,2,237.02,0.0244811
10.4,2,49.98,0.0
10.97,2,43.18,0.0
13.83,2,64.98,0.0
13.3,2,52.98,0.0
11.3,2,45.0,0.0
15.1,2,91.46,0.0
11.47,2,64.97,0.02108085
15.77,2,309.98,0.0
11.47,3,180.83,0.0
13.57,4,263.96,0.005138225
7.93,2,19.24,0.0
9.7,2,49.98,0.0
10.63,3,23.67,0.0
16.4,2,369.98,0.0
11.1,2,45.21,0.0
15.17,2,57.34,0.0
13.63,2,21.98,0.0
16.83,2,49.98,0.0
8.83,2,81.59,0.0
15.07,2,19.95,0.0
9.8,2,108.59,0.0
14.63,2,68.74,0.0
8.83,2,39.98,0.02382085
9.97,2,549.98,0.0
10.57,2,114.76,0.0
9.83,2,59.98,0.0
14.6,2,82.63,0.0
9.63,3,103.97,0.0
16.17,2,21.17,0.0
9.5,2,59.98,0.0
13.07,2,107.86,0.0
13.53,2,55.09,0.0
16.13,2,68.71,0.0
12.97,2,66.45,0.0
10.8,3,259.96,0.0
8.33,2,25.98,0.0
11.3,2,50.97,0.0
14.3,2,38.9,0.0
11.1,2,88.84,0.0
16.7,2,339.85,0.01457565
14.23,2,93.02,0.0
16.8,2,29.27,0.0
11.47,2,68.81,0.0
10.03,2,14.98,0.0
10.67,2,83.97,0.0
13.23,2,33.17,0.0
12.03,2,52.45,0.0
10.47,2,135.0,0.0
12.67,2,102.99,0.0
8.1,2,119.97,0.0
12.8,2,91.29,0.0
12.67,2,52.98,0.0
9.5,2,83.14,0.0
10.13,2,58.93,0.0
9.03,2,188.45,0.0
11.27,2,171.96,0.0
10.37,3,29.97,0.0
8.4,2,95.98,0.0454597
12.2,3,44.97,0.0
9.9,3,249.51,0.0
16.77,2,70.3,0.0
12.03,2,68.47,0.0
16.2,2,21.08,0.0
8.17,2,51.98,0.0
12.7,2,10.51,0.0
13.83,3,46.17,0.0
13.83,2,64.77,0.0
16.2,2,66.78,0.0
13.23,2,75.64,0.01011555
10.3,4,84.69,0.0
14.83,2,64.95,0.0
12.63,2,80.73,0.0
14.1,2,49.88,0.0
10.4,4,162.92,0.033942775
13.13,2,47.74,0.0
9.77,2,25.9,0.0
10.8,3,337.96,0.0
12.7,2,99.4,0.0
8.83,2,56.97,0.0
10.63,2,79.95,0.05768295
11.8,2,66.97,0.0
12.47,2,93.04,0.0
9.43,2,39.98,0.0
8.97,2,635.96,0.0
11.83,2,90.63,0.0
15.9,2,34.39,0.0
14.43,2,76.98,0.0
11.7,2,31.97,0.0
8.2,2,57.98,0.0
14.57,3,46.49,0.0
11.33,2,27.98,0.0
13.87,3,72.96,0.05649896667000001
16.57,3,59.91,0.0
16.67,2,35.97,0.0
11.73,2,49.06,0.0
11.7,2,49.29,0.0
8.17,2,31.98,0.0454804
13.97,2,28.98,0.04548635
10.5,2,69.35,0.0
16.17,2,165.97,0.0
13.33,2,30.18,0.0
12.07,3,87.95,0.0
9.47,2,29.58,0.0
12.77,2,434.96,0.0
9.83,2,19.98,0.0
11.1,2,27.98,0.0
9.0,2,115.97,0.0429942
15.37,3,78.08,0.0
9.63,2,56.18,0.06088395
16.0,2,90.08,0.0
11.17,2,45.55,0.0
12.07,2,45.13,0.0
12.63,2,29.97,0.0
10.53,2,77.97,0.0
13.13,2,296.43,0.0
16.37,2,14.48,0.0
16.13,2,114.95,0.0
13.17,3,395.91,0.0
11.3,2,75.36,0.0
16.03,2,46.98,0.0
9.83,2,43.98,0.0
14.53,2,203.13,0.0
12.33,3,192.99,0.0
10.57,2,62.98,0.0
16.23,2,131.88,0.0
12.9,2,56.98,0.0
10.63,2,55.98,0.0
12.7,2,76.97,0.0
16.63,2,119.8,0.0
11.3,2,45.98,0.0
12.93,2,165.92,0.04547445
16.13,2,23.83,0.0
17.03,3,30.94,0.0
16.5,2,129.78,0.0
9.37,2,64.98,0.09093465
13.67,3,386.96,0.03571683333
13.33,2,45.45,0.0210981
14.97,2,173.97,0.0
15.57,4,589.96,0.0
16.4,2,363.31,0.0
15.33,2,40.46,0.0
17.03,2,45.98,0.0
16.9,2,53.98,0.0
14.9,2,65.94,0.0
13.07,2,45.98,0.0
8.8,2,119.98,0.0
14.33,3,62.24,0.0
8.87,2,47.97,0.0
16.33,2,79.98,0.0
16.53,3,163.95,0.0
11.57,2,425.31,0.0
11.6,2,43.98,0.0
11.47,3,104.97,0.00396076667
15.97,2,298.97,0.0
13.53,2,181.98,0.0
13.07,2,83.98,0.0
12.4,3,46.7,0.0
15.27,2,64.43,0.0
15.47,2,32.98,0.0
11.8,2,581.73,0.0
9.97,2,13.98,0.0
13.6,2,41.23,0.0
13.47,2,199.98,0.0
11.1,2,31.98,0.0238237
9.8,2,169.98,0.11446885
11.6,2,144.89,0.0
13.83,2,45.38,0.0
17.07,2,397.14,0.0
12.73,2,27.98,0.0
8.03,2,36.95,0.0
15.83,2,131.52,0.0
9.63,2,36.79,0.0
10.2,2,86.98,0.0
10.37,2,81.35,0.0
10.07,2,60.29,0.0
10.33,2,115.82,0.0
11.97,2,242.77,0.0
9.2,2,27.98,0.0
9.17,2,75.98,0.0
11.2,2,85.97,0.020842
12.1,2,92.48,0.0
16.03,2,89.53,0.0
16.27,2,61.97,0.0
13.8,2,34.97,0.0
17.1,2,285.96,0.0
8.6,2,310.07,0.0
16.93,2,345.59,0.0
8.27,2,49.78,0.0
14.63,2,14.78,0.0
13.4,2,59.96,0.0
13.6,2,135.98,0.0
14.67,2,59.4,0.0
15.77,3,190.97,0.00542286667
9.57,3,126.91,0.0
13.83,2,49.88,0.0
13.3,2,53.98,0.0
9.53,2,57.15,0.0
12.13,2,42.0,0.04545455
9.2,2,128.68,0.0
8.87,2,143.48,0.0914175
9.53,2,104.98,0.02381205
11.77,2,78.97,0.0
8.1,2,125.95,0.0
9.13,2,179.95,0.0
13.8,3,227.12,0.0
12.1,2,61.98,0.0
11.7,2,62.92,0.0
9.03,2,71.5,0.0
10.2,2,32.98,0.0
12.07,2,30.35,0.0
8.6,2,77.11,0.0
10.53,2,27.98,0.0
16.53,2,109.13,0.0
11.93,2,21.66,0.0
15.83,2,23.11,0.0
15.23,2,91.91,0.0
8.03,2,51.98,0.0
10.03,2,129.98,0.0
15.43,2,121.32,0.0
8.57,2,33.97,0.08337195
9.77,2,63.56,0.0
15.93,2,43.46,0.0
15.47,2,72.98,0.0
10.57,3,79.11,0.0
14.77,2,96.37,0.0
16.67,2,59.98,0.0
11.2,2,106.16,0.0
12.57,2,47.98,0.0
8.33,2,73.78,0.0
14.43,2,71.28,0.0
14.57,2,41.98,0.0
10.37,2,119.96,0.0
10.1,2,84.12,0.0
9.47,2,105.97,0.0
10.8,2,37.96,0.0
12.5,2,138.83,0.0238334
11.47,2,418.99,0.0
8.63,2,54.98,0.0
14.43,2,42.76,0.0
12.47,2,37.44,0.0
11.8,2,205.03,0.0
8.97,4,118.25,0.0952583
10.33,2,84.92,0.0
9.13,2,70.29,0.0
12.9,2,60.23,0.0
13.47,2,43.9,0.0
8.43,2,46.98,0.0
14.63,2,403.18,0.0
8.43,2,285.98,0.0
12.1,2,69.33,0.0
9.27,2,26.98,0.0
10.97,2,151.98,0.0
14.4,2,105.93,0.0
13.63,2,197.96,0.0
12.0,2,32.67,0.0
7.97,2,51.98,0.0
12.3,2,99.98,0.02830725
13.0,5,390.94,0.0430784
9.3,2,120.88,0.0
13.87,2,40.84,0.0
9.9,4,112.96,0.0
9.67,2,29.98,0.0
9.67,2,43.9,0.0
16.63,2,519.98,0.0
13.4,2,29.12,0.0
8.93,2,71.93,0.0
15.13,2,25.8,0.0
16.6,2,28.1,0.0
15.1,2,168.48,0.0
14.47,2,162.19,0.0
13.3,2,43.92,0.04540435
15.6,2,100.57,0.0
9.03,3,95.0,0.0
16.4,2,22.6,0.0
14.13,2,67.96,0.0
9.2,2,62.18,0.06526900000000001
15.03,2,37.95,0.0
8.0,2,47.95,0.0
11.53,2,205.42,0.0
15.83,2,32.32,0.0
8.73,2,67.3,0.0
8.03,2,67.96,0.0
13.93,2,172.76,0.01363435
12.67,2,216.98,0.0
11.23,3,76.96,0.0
8.33,2,72.4,0.0
16.23,2,144.12,0.0
9.73,2,29.98,0.0
14.73,2,45.12,0.0
11.77,2,140.34,0.0087166
