R,F,M,C,cluster
13.63,2,99.62,0.0,1
15.73,2,51.98,0.0,1
13.27,2,90.97,0.0251467,1
11.27,2,59.97,0.0,1
10.17,3,219.96,0.07949869999999999,1
16.87,2,147.59,0.0,1
11.23,2,599.98,0.0,1
13.27,2,33.24,0.0,1
8.5,3,109.96,0.0158371,1
9.27,3,52.14,0.0,1
14.4,2,71.75,0.0,1
13.13,2,43.98,0.0,1
11.57,2,39.36,0.0,1
13.33,2,449.84,0.0,1
11.33,2,133.98,0.0,1
14.33,2,114.29,0.0,1
10.2,2,51.34,0.0,1
11.83,2,115.6,0.0,1
13.4,2,46.58,0.0,1
9.07,2,39.98,0.02382085,1
15.63,2,57.98,0.0,1
8.1,2,59.97,0.0,1
8.3,3,70.42,0.0,1
9.23,2,44.98,0.0,1
8.5,2,31.98,0.0,1
9.8,2,271.98,0.0,1
12.57,2,114.54,0.07142855,1
13.7,2,95.94,0.0,1
16.6,2,138.9,0.0,1
9.37,2,51.98,0.0,1
10.33,2,67.6,0.0,1
13.23,2,45.62,0.0,1
10.7,2,146.15,0.0,1
10.67,3,108.09,0.0,1
16.23,2,13.98,0.0,1
15.4,3,127.38,0.0,1
10.83,2,37.98,0.0,1
12.57,2,77.22,0.0,1
8.2,2,77.15,0.0,1
12.97,2,85.98,0.0,1
13.1,2,119.92,0.0,1
12.37,2,62.96,0.0,1
9.43,3,51.96,0.0,1
14.53,2,48.24,0.0,1
13.17,3,77.96,0.0,1
9.53,3,58.99,0.0,1
9.03,2,46.98,0.0238186,1
13.63,4,47.16,0.011916575,1
13.57,2,25.32,0.0,1
10.23,2,36.92,0.0,1
15.3,3,101.97,0.0,1
16.53,2,187.71,0.00451155,1
12.97,3,54.96,0.0,1
9.63,2,51.98,0.0,1
8.57,2,53.98,0.0,1
12.43,2,188.96,0.02937285,1
15.47,2,54.46,0.0,1
11.93,2,39.97,0.0,1
12.87,2,97.98,0.0,1
10.6,2,63.62,0.0,1
8.97,2,408.79,0.0,0
14.03,3,163.97,0.0,1
15.53,2,115.25,0.0,1
13.3,2,268.96,0.0,1
12.97,2,63.82,0.0,1
12.03,2,58.44,0.031181599999999997,1
10.83,3,86.91,0.0,1
12.97,2,178.94,0.12880215,1
9.23,2,41.94,0.0,1
12.97,2,86.97,0.0,1
9.97,2,50.97,0.0,1
15.8,2,21.98,0.0,1
13.1,2,21.98,0.0,1
7.93,2,25.9,0.0,1
14.87,2,135.38,0.0,1
16.63,2,187.5,0.0652073,1
10.33,2,175.23,0.0,1
9.27,2,41.98,0.0,1
16.9,2,82.02,0.0,1
10.27,2,63.63,0.0,1
14.3,3,295.92,0.10205773332999996,1
14.1,2,130.62,0.0,1
10.63,2,40.95,0.0,1
8.27,2,27.14,0.0,1
16.0,3,137.61,0.0,1
11.2,2,138.72,0.0,1
14.1,2,30.58,0.02382405,1
12.4,2,105.32,0.0,1
14.27,3,86.44,0.0,1
12.2,2,55.44,0.0,1
14.5,2,29.89,0.0,1
8.83,3,305.97,0.0,0
11.63,2,47.97,0.0,1
15.27,2,224.98,0.05859855,1
11.9,2,21.18,0.0,1
10.9,2,29.6,0.0,1
17.07,2,105.98,0.0,1
17.03,2,47.98,0.0,1
15.47,2,41.24,0.0,1
13.9,2,17.91,0.0,1
14.9,2,27.98,0.06671115,1
11.5,3,200.96,0.0,1
13.33,2,124.82,0.0,1
11.33,2,63.62,0.0,1
10.57,2,179.57,0.0,1
9.6,2,104.53,0.0,1
11.97,3,95.12,0.0,1
