,id,questions,answers
0,2254,5649.0,10636.0
1,2255,5575.0,11079.0
2,2256,4637.0,9547.0
3,2257,4646.0,9552.0
4,2258,6020.0,11066.0
5,2259,6124.0,10923.0
6,2260,6128.0,10816.0
7,2261,6128.0,10816.0
8,2262,5575.0,11079.0
9,2263,4647.0,9547.0
10,2264,4646.0,9552.0
11,2265,6020.0,11066.0
12,2266,6180.0,11388.0
13,2267,6180.0,11353.0
14,2268,5833.0,11353.0
15,2269,5575.0,11205.0
16,2270,4706.0,9547.0
17,2271,4771.0,9552.0
18,2272,5916.0,10912.0
19,2273,6180.0,11439.0
20,2274,6180.0,11528.0
21,2275,5833.0,11509.0
22,2276,5575.0,11205.0
23,2277,4692.0,9397.0
24,2278,4692.0,9397.0
25,2279,5916.0,11110.0
26,2280,6220.0,11538.0
27,2281,6220.0,11537.0
28,2282,5833.0,11537.0
29,2283,5575.0,10680.0
30,2284,4692.0,9397.0
31,2285,4001.0,8486.0
32,2286,5307.0,10235.0
33,2287,5307.0,10381.0
34,2288,5398.0,10404.0
35,2289,5398.0,10404.0
36,2290,5236.0,10233.0
37,2291,4175.0,8573.0
38,2292,4202.0,8595.0
39,2293,5358.0,10235.0
40,2294,5520.0,10666.0
41,2295,5589.0,10728.0
42,2296,5530.0,10607.0
43,2297,5167.0,10171.0
44,2298,4175.0,8573.0
45,2299,4202.0,8603.0
46,2300,5358.0,10235.0
47,2301,5519.0,10670.0
48,2302,5699.0,10762.0
49,2303,5670.0,10607.0
50,2304,5369.0,10400.0
51,2305,4298.0,8810.0
52,2306,4298.0,8810.0
53,2307,5444.0,10440.0
54,2308,5433.0,10473.0
55,2309,5713.0,10473.0
56,2310,5670.0,10473.0
57,2311,5388.0,10534.0
58,2312,4298.0,8810.0
59,2313,4298.0,8810.0
60,2314,5444.0,10440.0
61,2315,5433.0,10919.0
62,2316,5744.0,10879.0
63,2317,5786.0,10879.0
64,2318,5371.0,10508.0
65,2319,4296.0,8800.0
66,2320,4331.0,8800.0
67,2321,5486.0,10434.0
68,2322,5713.0,10858.0
69,2323,5713.0,10858.0
70,2324,5786.0,10858.0
71,2325,5371.0,10508.0
72,2326,4308.0,8851.0
73,2327,4331.0,8839.0
74,2328,5486.0,10434.0
75,2329,5745.0,10924.0
76,2330,5745.0,11069.0
77,2331,5786.0,11050.0
78,2332,5445.0,10673.0
79,2333,4421.0,8980.0
80,2334,4426.0,8957.0
81,2335,5609.0,10576.0
82,2336,5789.0,10995.0
83,2337,5789.0,11122.0
84,2338,5789.0,11117.0
85,2339,5499.0,9940.0
86,2340,4423.0,8993.0
87,2341,4376.0,8951.0
88,2342,5610.0,10576.0
89,2343,5867.0,10995.0
90,2344,5725.0,11074.0
91,2345,5786.0,11074.0
92,2346,5561.0,10870.0
93,2347,4445.0,9009.0
94,2348,4368.0,8882.0
95,2349,5576.0,10647.0
96,2350,5803.0,10917.0
97,2351,5832.0,11074.0
98,2352,5832.0,11074.0
99,2353,5535.0,10659.0
100,2354,4367.0,8961.0
101,2355,4392.0,8914.0
102,2356,5645.0,10719.0
103,2357,5803.0,11012.0
104,2358,5873.0,11119.0
105,2359,5873.0,11084.0
106,2360,5445.0,10806.0
107,2361,4355.0,8993.0
108,2362,4355.0,8855.0
109,2363,5609.0,10698.0
110,2364,5722.0,10865.0
111,2365,5722.0,10921.0
112,2366,5407.0,10921.0
113,2367,5006.0,9940.0
114,2368,4355.0,8993.0
115,2369,4355.0,8855.0
116,2370,5841.0,10698.0
117,2371,5790.0,11058.0
118,2372,5822.0,11203.0
119,2373,5822.0,11203.0
120,2374,5628.0,10534.0
121,2375,4472.0,8923.0
122,2376,4472.0,8994.0
123,2377,5708.0,10642.0
124,2378,6048.0,11278.0
125,2379,6065.0,11278.0
126,2380,6079.0,11188.0
127,2381,5686.0,10738.0
128,2382,4561.0,8956.0
129,2383,4521.0,8954.0
130,2384,5875.0,10887.0
131,2385,6048.0,11259.0
132,2386,6065.0,11348.0
133,2387,6002.0,11177.0
134,2388,5768.0,10851.0
135,2389,4534.0,8990.0
136,2390,4517.0,8954.0
137,2391,5878.0,10805.0
138,2392,6133.0,11320.0
139,2393,6133.0,11460.0
140,2394,6078.0,11460.0
141,2395,5716.0,10928.0
142,2396,4534.0,8990.0
143,2397,4517.0,8933.0
144,2398,5841.0,10864.0
145,2399,6051.0,11058.0
146,2400,6051.0,11401.0
147,2401,6019.0,11401.0
148,2402,5649.0,10811.0
149,2403,4492.0,8904.0
150,2404,4492.0,8933.0
151,2405,5473.0,10452.0
